WKT,osm_id,name,ref,type,oneway,bridge,maxspeed
"MULTILINESTRING ((-89.0213689 42.5215275,-89.0207876 42.5215216,-89.0196646 42.5215246,-89.0195262 42.5215129,-89.0194313 42.52151,-89.0193482 42.52151,-89.0189489 42.5215158))",21567406,Aldrich Place,,residential,0,0,
"MULTILINESTRING ((-89.034332 42.55648,-89.034855 42.556791,-89.035104 42.5570135,-89.035225 42.55718,-89.035367 42.557421,-89.035434 42.557558,-89.035461 42.557835,-89.035367 42.55814,-89.035129 42.558605,-89.03496 42.558997,-89.034931 42.559122,-89.03495 42.5594))",21567412,South Marigold Road,,residential,0,0,
"MULTILINESTRING ((-89.010375 42.522244,-89.009967 42.522,-89.009837 42.52189,-89.009645 42.521691,-89.009446 42.521359,-89.009383 42.521205,-89.009326 42.520957,-89.00935 42.520871,-89.009414 42.520762))",21567504,Luety Parkway,,residential,0,0,
"MULTILINESTRING ((-89.020304 42.501871,-89.020265 42.501885,-89.0202 42.501931,-89.019437 42.502777))",21567510,Terrace Lane,,residential,0,0,25
"MULTILINESTRING ((-88.9939206 42.5201269,-88.9939262 42.5200593,-88.9939174 42.5200254,-88.9938039 42.5198747,-88.9937123 42.5197637,-88.9936572 42.5197008,-88.99362 42.5196764,-88.9935595 42.519647,-88.993565 42.5196967,-88.9935787 42.5197292,-88.993616 42.5198073,-88.9936917 42.5199184,-88.9938045 42.520067,-88.9938279 42.5200853,-88.9939206 42.5201269))",21567873,,,residential,1,0,
"MULTILINESTRING ((-88.9923164 42.4960214,-88.990467 42.496231,-88.990318 42.496257,-88.990206 42.496311,-88.990156 42.496385,-88.990147 42.4964629))",21567917,,,residential,0,0,
"MULTILINESTRING ((-88.9946545 42.5194342,-88.994448 42.519585,-88.994288 42.519677,-88.9938039 42.5198747,-88.9936917 42.5199184))",21568697,,,residential,0,0,
"MULTILINESTRING ((-88.989876 42.5089534,-88.989949 42.5084589,-88.989821 42.5077058,-88.9897028 42.5075802,-88.9895979 42.5074456,-88.9894415 42.507387,-88.98914 42.5073667))",21568876,Spring Brook Village,,residential,0,0,
"MULTILINESTRING ((-89.0784101 42.5036617,-89.0809494 42.5037168,-89.0849913 42.5037407,-89.0857241 42.5037451,-89.0858145 42.5037456,-89.0860495 42.5037451,-89.0870845 42.5037608,-89.0874683 42.50377,-89.0908114 42.5038572,-89.0960457 42.5039262,-89.100531 42.5039823,-89.1103948 42.5041155,-89.1125146 42.5041485,-89.1172398 42.504222))",21569479,West Saint Lawrence Avenue,,tertiary,0,0,
"MULTILINESTRING ((-89.061792 42.583382,-89.061652 42.583327,-89.061548 42.58325,-89.061485 42.583148,-89.061454 42.582328))",21569539,South Victorian Lane,,residential,0,0,
"MULTILINESTRING ((-89.0193689 42.5374312,-89.0186232 42.5375383,-89.0183837 42.5375649,-89.018075 42.5375668,-89.0171662 42.5375648,-89.0160242 42.5375499,-89.0148474 42.5375476,-89.0136562 42.5375454,-89.0118798 42.5375223,-89.0117862 42.5375211,-89.011665 42.5375222))",21569555,Virginia Street,,residential,0,0,
"MULTILINESTRING ((-89.031684 42.548111,-89.031638 42.549313))",21569752,South Voyager Drive,,residential,0,0,
"MULTILINESTRING ((-89.0514652 42.4992618,-89.0490125 42.4992566,-89.0465933 42.4992424))",21569793,Highland Avenue,,residential,0,0,
"MULTILINESTRING ((-89.0563813 42.4989759,-89.0588337 42.4989863,-89.061294 42.4989903,-89.0637301 42.4989977,-89.0661104 42.4989974))",21569812,Highland Avenue,,residential,0,0,
"MULTILINESTRING ((-89.014821 42.527333,-89.014352 42.5274,-89.014064 42.527542,-89.013916 42.527782,-89.013914 42.527919,-89.014001 42.528196,-89.014028 42.52833,-89.014035 42.528481,-89.014077 42.528685,-89.0140751 42.5292776))",21569822,Lane Drive,,residential,0,0,
"MULTILINESTRING ((-89.016277 42.541954,-89.016272 42.542902))",21569835,Wood Court,,residential,0,0,
"MULTILINESTRING ((-88.961286 42.536994,-88.961286 42.537233,-88.961314 42.537474))",21569865,Tara Court,,residential,0,0,
"MULTILINESTRING ((-88.961229 42.536895,-88.961286 42.536994,-88.961297 42.536969,-88.961409 42.536856,-88.96144 42.536804,-88.961459 42.53675,-88.961456 42.536694,-88.961432 42.536653,-88.961392 42.536631,-88.96133 42.53661,-88.961287 42.536604,-88.961239 42.53661,-88.961196 42.536634,-88.96115 42.536673,-88.961126 42.536718,-88.961152 42.536793,-88.961229 42.536895))",21569871,Tara Court,,residential,1,0,
"MULTILINESTRING ((-89.035129 42.558605,-89.034943 42.558609,-89.034689 42.558639,-89.031505 42.559401,-89.031316 42.559475,-89.031134 42.559556,-89.030619 42.559801,-89.030299 42.55995,-89.030153 42.560005,-89.029989 42.560045,-89.029807 42.560065,-89.028562 42.56005,-89.027756 42.560031,-89.027389 42.560038,-89.026687 42.560093))",21569895,East Morning Glory Lane,,residential,0,0,
"MULTILINESTRING ((-89.0403773 42.5604296,-89.040045 42.56043,-89.039521 42.560421,-89.039411 42.560427,-89.039313 42.560477,-89.039246 42.56055,-89.039225 42.561105))",21569906,Linda Avenue,,residential,0,0,
"MULTILINESTRING ((-89.0454293 42.540225,-89.0454238 42.5403055,-89.045429 42.5405535,-89.0454221 42.5411537,-89.045406 42.541733))",21569929,Hill Drive,,residential,0,0,
"MULTILINESTRING ((-89.041174 42.561964,-89.037044 42.561961))",21569980,South Avenue,,residential,0,0,
"MULTILINESTRING ((-89.0117974 42.5360837,-89.0116708 42.5360824,-89.0101947 42.5360789,-89.008727 42.5360866))",21570014,Robin Road,,residential,0,0,
"MULTILINESTRING ((-89.0304945 42.5084974,-89.0304546 42.508386,-89.0304472 42.5083639,-89.0304397 42.5083499,-89.0304129 42.5082996,-89.03036 42.508236,-89.0302451 42.5081237,-89.0301898 42.5080854,-89.0299115 42.5079444,-89.0298905 42.5079338,-89.0297802 42.5078996,-89.0296521 42.5078785,-89.0294968 42.5078631,-89.0294133 42.5078624,-89.0292943 42.5078748,-89.0283544 42.5080068,-89.0282174 42.5080261,-89.028085 42.5080352,-89.0280323 42.5080388,-89.027789 42.5080428,-89.0270158 42.508034,-89.0268957 42.5080326,-89.0267918 42.5080348))",21570057,Woodward Avenue,,tertiary,0,0,25
"MULTILINESTRING ((-89.026897 42.4986769,-89.0270612 42.4986772,-89.0274149 42.4986778,-89.02912 42.4986758,-89.0308837 42.4986853,-89.0309874 42.4986855,-89.0310203 42.4986855,-89.0315915 42.4986933,-89.0334986 42.4986975,-89.033637 42.4986978))",21570194,Broad Street,US 51,primary,0,0,25
"MULTILINESTRING ((-89.0225173 42.498914,-89.0224375 42.4989098,-89.0223561 42.4989056,-89.0222296 42.4988911,-89.0221556 42.4988634,-89.0218729 42.4986449,-89.0218014 42.4985987,-89.0217333 42.4985819,-89.0216566 42.4985775,-89.021586 42.4985834,-89.0213252 42.4986201,-89.0210375 42.4986622,-89.0189758 42.4990121,-89.0187145 42.4990709))",21570199,Broad Street,,residential,0,0,25
"MULTILINESTRING ((-88.9871903 42.5168922,-88.9875661 42.5174054,-88.9884525 42.5186157,-88.9892133 42.5196546,-88.9893391 42.5198264,-88.9895005 42.5200468,-88.98962 42.52021,-88.9897521 42.5203918,-88.9899656 42.5206856,-88.9904049 42.5212903,-88.9904843 42.5214074,-88.9905398 42.5214892,-88.9906582 42.5216436))",21570207,Lee Lane,,residential,0,0,
"MULTILINESTRING ((-89.024137 42.532303,-89.024126 42.532921,-89.0241335 42.532959,-89.024151 42.533048,-89.024208 42.533146,-89.024318 42.53323))",21570282,South Wis Avenue,,residential,0,0,
"MULTILINESTRING ((-89.0540228 42.5218196,-89.0542055 42.5218192,-89.0551671 42.5218277,-89.0553151 42.5218276,-89.0564333 42.5218442))",21570297,House Street,,tertiary,0,0,
"MULTILINESTRING ((-89.061369 42.5280192,-89.0644286 42.5280553))",21570384,Townview Drive,,residential,0,0,
"MULTILINESTRING ((-89.0406297 42.5072945,-89.0406835 42.5091737))",21570462,6th Street,,residential,0,0,
"MULTILINESTRING ((-89.0402739 42.5091722,-89.0403287 42.51104))",21570472,6th Street,,residential,0,0,
"MULTILINESTRING ((-89.0165527 42.5069208,-89.0164221 42.5069199,-89.0159738 42.5069167,-89.0144992 42.5069063,-89.0143986 42.506907,-89.0136502 42.5069124,-89.011957 42.5068917,-89.0098549 42.5068714,-89.0091681 42.5068648,-89.0090781 42.5068646))",21570518,Colley Road,,tertiary,0,0,35
"MULTILINESTRING ((-89.1293095 42.5700978,-89.1220804 42.569876,-89.120157 42.569817,-89.115243 42.569704,-89.110732 42.569601,-89.110552 42.569631,-89.110416 42.56971,-89.110337 42.569842,-89.110177 42.576413,-89.110166 42.576566,-89.11013 42.57669,-89.110031 42.576785,-89.109859 42.576815,-89.1096275 42.5768123,-89.1068666 42.5767796,-89.105212 42.57676,-89.100857 42.576731,-89.1002913 42.5767273,-89.092756 42.576678,-89.0792993 42.5765897,-89.0791333 42.5765886,-89.0759904 42.576568,-89.0745223 42.5765584,-89.0727248 42.5765467,-89.0718235 42.5765408,-89.070031 42.576529))",21570531,West Finley Road,,residential,0,0,
"MULTILINESTRING ((-88.990151 42.54444,-88.989105 42.544284,-88.988909 42.544252,-88.988601 42.544152,-88.988465 42.544085,-88.988226 42.54392,-88.9881545 42.5438542,-88.9878382 42.5435765,-88.9877507 42.543517,-88.9877106 42.5434996,-88.9876362 42.5434674,-88.9874478 42.5434079))",21570555,Rachel Terrace,,residential,0,0,
"MULTILINESTRING ((-89.0613682 42.506284,-89.0638046 42.506294,-89.0662152 42.5063356))",21570641,Lenox Avenue,,residential,0,0,
"MULTILINESTRING ((-89.003044 42.534171,-89.003098 42.534017,-89.003146 42.533758,-89.003155 42.5336639))",21570644,Parkmeadow Drive,,residential,1,0,
"MULTILINESTRING ((-89.0029897 42.5336619,-89.002994 42.533939,-89.003008 42.534039,-89.003044 42.534171))",21570647,Parkmeadow Drive,,residential,1,0,
"MULTILINESTRING ((-89.003018 42.53494,-89.004398 42.534874,-89.00472 42.534916,-89.00497 42.535056,-89.005054 42.535163,-89.005196 42.535831,-89.005366 42.53671,-89.00544 42.537128,-89.0053508 42.5374198))",21570653,Parkmeadow Drive,,residential,0,0,
"MULTILINESTRING ((-89.046661 42.541645,-89.046839 42.541596,-89.046908 42.541557,-89.046962 42.541514))",21570676,Habron Drive,,residential,0,0,
"MULTILINESTRING ((-89.003593 42.547437,-89.003603 42.548171,-89.003588 42.548363,-89.00353 42.548541,-89.003432 42.548702,-89.00334 42.548829,-89.003221 42.549006,-89.003136 42.549164,-89.003051 42.549448,-89.003027 42.549658))",21570695,Claremont,,residential,0,0,
"MULTILINESTRING ((-88.889237 42.56666,-88.891882 42.566729,-88.893791 42.5667956,-88.8940575 42.566792,-88.8942938 42.566773,-88.8988632 42.5669022,-88.903666 42.567038,-88.9062343 42.5671401,-88.9080043 42.5672104,-88.9100535 42.5672811,-88.9120324 42.5673316,-88.9139485 42.5674028,-88.9155266 42.5674352,-88.9174363 42.567474,-88.9180512 42.5674865,-88.9188766 42.5675033,-88.923765 42.5675867,-88.9239328 42.5675888,-88.9271758 42.5676436,-88.9287318 42.56768,-88.9324477 42.5677509,-88.9332866 42.5677657,-88.9337221 42.5677718,-88.9340191 42.5677759,-88.9347679 42.5677962,-88.9350353 42.5678066,-88.9352529 42.5678243,-88.9353813 42.5678398,-88.9354996 42.5678727,-88.9356037 42.5679357,-88.9356901 42.5680051,-88.9357732 42.568095,-88.9358905 42.5682385,-88.9365929 42.569157,-88.9370285 42.5697266,-88.9378761 42.570812,-88.9379038 42.5708517,-88.9379311 42.5709039,-88.9386459 42.5725996))",21570723,East Buss Road,,residential,0,0,45
"MULTILINESTRING ((-89.0363735 42.5517085,-89.036338 42.551874,-89.036253 42.551949,-89.036137 42.551997,-89.035993 42.552016,-89.0349573 42.5520272,-89.0330414 42.552027))",21570735,Limerick Lane,,residential,0,0,
"MULTILINESTRING ((-89.0330414 42.552027,-89.0302631 42.5520144,-89.0301227 42.5519913,-89.0300274 42.5519266,-89.030006 42.551812,-89.0300048 42.5512079))",21570742,Limerick Lane,,residential,0,0,
"MULTILINESTRING ((-89.011551 42.552694,-89.0101403 42.5526977,-89.0097499 42.5526988,-89.009437 42.5526996,-89.0091932 42.5527003,-89.0076133 42.5527045,-89.0072399 42.5527083,-89.0070842 42.5527059,-89.006651 42.552707))",21570818,Colony Court,,residential,0,0,35
"MULTILINESTRING ((-89.0053508 42.5374198,-89.005158 42.537524,-89.004886 42.537594,-89.003195 42.53761,-89.00244 42.537838,-89.001909 42.537857,-89.000424 42.537847,-88.999975 42.537691))",21570825,Tumbleweed Lane,,residential,0,0,
"MULTILINESTRING ((-89.0175051 42.5058403,-89.0174 42.5058382,-89.0144698 42.5057798,-89.013677 42.505764,-89.012727 42.505754))",21570861,Oakwood Avenue,,residential,0,0,25
"MULTILINESTRING ((-89.0269219 42.4962273,-89.0269082 42.4970278,-89.026897 42.4976835,-89.0268985 42.4977478,-89.0268993 42.4977818,-89.0268989 42.4979296,-89.0268985 42.4980776,-89.0268984 42.4981392,-89.0268973 42.4985523,-89.026897 42.4986769))",21570979,Park Avenue,,tertiary,0,0,30
"MULTILINESTRING ((-89.0288004 42.5304823,-89.0267572 42.5304808))",21570992,Homeland Court,,residential,0,0,
"MULTILINESTRING ((-89.0465624 42.5027773,-89.0459648 42.5027735,-89.0449977 42.5027674,-89.0441509 42.5027676,-89.0427484 42.5027712,-89.0424742 42.502772,-89.0417482 42.5027713))",21571093,Locust Street,,residential,1,0,
"MULTILINESTRING ((-89.021581 42.549489,-89.019677 42.549471,-89.0191531 42.5494702,-89.0133116 42.5494618,-89.0127418 42.549461,-89.0123963 42.5494605,-89.0117499 42.5494595,-89.0117206 42.5494598,-89.0115442 42.5494614,-89.0113719 42.5494623,-89.0112238 42.5494839,-89.0110157 42.5495265,-89.0106983 42.549599,-89.010534 42.5496289,-89.010418 42.5496415))",21571148,Huebbe Parkway,,residential,0,0,35
"MULTILINESTRING ((-89.045877 42.527968,-89.05025 42.528003,-89.050597 42.528005,-89.050693 42.528006))",21571154,Froebel Drive,,residential,0,0,
"MULTILINESTRING ((-88.966011 42.537878,-88.965777 42.537773,-88.965389 42.537712,-88.965261 42.537685,-88.965173 42.537615,-88.965141 42.537525,-88.965137 42.537431,-88.965165 42.536996))",21571161,Field Crest Court,,residential,0,0,
"MULTILINESTRING ((-88.9411933 42.5718427,-88.941508 42.572564))",21571305,South Water Street,,residential,0,0,
"MULTILINESTRING ((-89.042114 42.563425,-89.038507 42.563387,-89.03839 42.56335))",21571342,Community Drive,,residential,0,0,
"MULTILINESTRING ((-89.000517 42.517509,-89.000587 42.517636,-89.0006345 42.5177368,-89.000652 42.517774,-89.000657 42.517846,-89.000621 42.517944,-89.000495 42.518198,-89.000449 42.518365,-89.000419 42.518524,-89.000396 42.518688,-89.000383 42.518856,-89.000381 42.519027,-89.000389 42.5192,-89.000429 42.519529,-89.00048 42.519859,-89.000502 42.520037,-89.00052 42.520315,-89.000517 42.520598,-89.000411 42.521606,-89.000401 42.521706,-89.000392 42.5221))",21571425,Indian Road,,residential,0,0,
"MULTILINESTRING ((-88.9890612 42.5089255,-88.9890808 42.5085426,-88.9890287 42.5082339))",21571436,Walnut Street,,residential,0,0,
"MULTILINESTRING ((-89.037936 42.559316,-89.0374393 42.559289,-89.037236 42.5592911,-89.0366999 42.5593199,-89.03583 42.559355,-89.03495 42.5594,-89.034842 42.559408,-89.034671 42.559439,-89.033933 42.559671,-89.03276 42.560022,-89.032304 42.560131,-89.031852 42.560268,-89.03147 42.560431,-89.031245 42.560534,-89.030499 42.560849,-89.030269 42.560902,-89.030033 42.560934,-89.029792 42.560943,-89.026877 42.560907))",21571668,East Azalea Terrace,,residential,0,0,
"MULTILINESTRING ((-89.0373133 42.5198123,-89.0369964 42.5201538,-89.0366579 42.5205165,-89.0360746 42.5211464))",21571710,Henry Avenue,,tertiary,0,1,
"MULTILINESTRING ((-89.0129992 42.5225647,-89.0118846 42.5225571))",21571715,Henry Avenue,,residential,0,0,
"MULTILINESTRING ((-89.034685 42.5223122,-89.0345171 42.5223832,-89.0343994 42.5224317,-89.0343294 42.5224606,-89.0341974 42.5225083,-89.034123 42.5225296,-89.0340101 42.5225596,-89.0338613 42.522595,-89.0336885 42.5226304,-89.033578 42.5226446,-89.0334292 42.522657,-89.0331579 42.5226906))",21571726,Henry Avenue,,tertiary,1,0,
"MULTILINESTRING ((-89.069037 42.523642,-89.0691332 42.5236167,-89.0692569 42.5236087,-89.0694132 42.5235985,-89.0695191 42.5235807,-89.0696433 42.5235598,-89.069786 42.5235132,-89.0699436 42.523444,-89.0700592 42.5233696,-89.0701534 42.5232508))",21571752,Woodman Lane,,residential,0,0,
"MULTILINESTRING ((-89.0180389 42.5187395,-89.01637 42.518708))",21571825,Washburn Street,,residential,0,0,
"MULTILINESTRING ((-89.026782 42.518743,-89.0266783 42.518743,-89.0242784 42.518743,-89.02417 42.518743))",21571827,Washburn Street,,residential,0,0,
"MULTILINESTRING ((-89.023943 42.543151,-89.023944 42.54318,-89.023961 42.543814))",21571847,Helen Court,,residential,0,0,
"MULTILINESTRING ((-89.009383 42.521205,-89.00891 42.521356,-89.008637 42.521487,-89.008118 42.52191,-89.008015 42.522041,-89.007718 42.522637,-89.007428 42.523089,-89.007196 42.523363,-89.006849 42.523744,-89.006809 42.52388,-89.006796 42.523977,-89.006814 42.524115,-89.006892 42.52426,-89.007017 42.524449,-89.007132 42.524695,-89.007165 42.52487,-89.007155 42.527121,-89.007165 42.527275,-89.007222 42.527415,-89.007292 42.527524,-89.007531 42.527751))",21571904,Arrowhead Drive,,residential,0,0,
"MULTILINESTRING ((-89.0118757 42.5214979,-89.0117677 42.5214987,-89.0115054 42.5215005,-89.0113996 42.5214934,-89.0112877 42.5214642,-89.0111221 42.5213954,-89.0110215 42.5213217,-89.0109369 42.5212421,-89.0108461 42.5211182,-89.010707 42.520848,-89.010453 42.520667,-89.010083 42.520608,-89.009539 42.520692,-89.009414 42.520762))",21571905,Arrowhead Drive,,residential,0,0,
"MULTILINESTRING ((-89.0716416 42.5255638,-89.071625 42.527417,-89.071604 42.529602))",21571928,Frederick Street,,residential,0,0,
"MULTILINESTRING ((-89.0709588 42.4963571,-89.0710008 42.4964132,-89.0710155 42.4964539,-89.0710326 42.4965585,-89.0710496 42.498373,-89.071062 42.499691,-89.071063 42.499919,-89.071064 42.500193,-89.071064 42.500307,-89.071066 42.500804,-89.071069 42.501742,-89.071073 42.502662,-89.0710708 42.5036222))",21571931,Frederick Street,,tertiary,0,0,
"MULTILINESTRING ((-89.0201411 42.4972773,-89.0199601 42.4972673,-89.0198642 42.4972807,-89.0198321 42.4972852,-89.0197651 42.4972918,-89.0197036 42.4972934,-89.0195264 42.4972932))",21571935,Manchester Street,,tertiary,1,0,25
"MULTILINESTRING ((-88.9539641 42.5099656,-88.9537924 42.5099695,-88.9536449 42.5099972,-88.9535456 42.5100427,-88.9534598 42.5101119,-88.9534035 42.5102048,-88.9533632 42.5103135,-88.9534733 42.5170426,-88.953476 42.5171444,-88.953476 42.5171904,-88.953476 42.5179205,-88.953518 42.5205292,-88.9535226 42.5208264,-88.9535065 42.5227434,-88.9535191 42.523598,-88.953532 42.524475,-88.9535333 42.526002,-88.953535 42.528033,-88.953535 42.528244,-88.953535 42.528693,-88.9535605 42.5310948,-88.9535644 42.5312633,-88.9535639 42.53149,-88.953545 42.532454,-88.953546 42.534221,-88.9535453 42.5344925,-88.9535544 42.5346267,-88.9535743 42.5347767))",21571938,Town Hall Road,,residential,0,0,35
"MULTILINESTRING ((-88.996051 42.547743,-88.996066 42.548601))",21571941,Elise Street,,residential,0,0,
"MULTILINESTRING ((-88.997083 42.528883,-88.996971 42.528978,-88.996913 42.529018,-88.9969013 42.5290195,-88.996771 42.529036,-88.996716 42.529058))",21571944,Granite Court,,residential,0,0,
"MULTILINESTRING ((-89.0187145 42.4990709,-89.017409 42.4993716,-89.0168696 42.4995365))",21571949,Booker Street,,residential,0,0,25
"MULTILINESTRING ((-88.992789 42.521748,-88.992954 42.52304,-88.993132 42.524444,-88.993173 42.52466))",21572000,Vista Drive,,residential,0,0,
"MULTILINESTRING ((-89.033445 42.543029,-89.033442 42.544462,-89.033459 42.544576,-89.033508 42.544671,-89.033677 42.544821,-89.033837 42.544908))",21572007,Florence Drive,,residential,0,0,
"MULTILINESTRING ((-89.0301533 42.5215763,-89.030124 42.521505,-89.030022 42.521389,-89.0297698 42.5212106,-89.0289839 42.5206255,-89.028658 42.520369,-89.0284126 42.5202597))",21572022,Morse Avenue,,residential,1,0,
"MULTILINESTRING ((-89.0270126 42.5194201,-89.0270503 42.5194153,-89.0271499 42.5194127,-89.0272484 42.5194244,-89.0273358 42.5194476,-89.0274061 42.5194769,-89.027481 42.5195224,-89.0275409 42.5195751,-89.028061 42.519959,-89.0281788 42.5200591,-89.0282732 42.5201393))",21572027,Morse Avenue,,residential,0,0,
"MULTILINESTRING ((-89.061287 42.52438,-89.061982 42.524387,-89.062482 42.524392,-89.063706 42.524404,-89.064914 42.524414,-89.066126 42.524422))",21572029,Wilson Street,,residential,0,0,
"MULTILINESTRING ((-89.0424054 42.5402992,-89.0432026 42.5403014,-89.0454238 42.5403055,-89.0470576 42.5403161,-89.0475423 42.5402995,-89.0477273 42.5402843,-89.0479242 42.5402633,-89.0482709 42.5402169,-89.0486861 42.5401515,-89.0490677 42.5400943,-89.0495361 42.5400364,-89.049737 42.5400118,-89.0498707 42.5399988,-89.0500257 42.5399894,-89.0502203 42.5399801,-89.0505462 42.539973,-89.0510697 42.5399687,-89.051305 42.5399719,-89.0515492 42.5399752,-89.0520557 42.5399906))",21572035,Newark Road,CTH Q,tertiary,1,0,45
"MULTILINESTRING ((-89.0312146 42.5408271,-89.0312113 42.5417376))",21572070,Mc Vey Drive,,residential,0,0,
"MULTILINESTRING ((-89.036681 42.506185,-89.0366724 42.5071929,-89.0366718 42.5072635,-89.0366718 42.5073223,-89.036673 42.5074061,-89.0366718 42.5075702,-89.03667 42.507829,-89.0366688 42.5079906,-89.0366639 42.5086825,-89.036664 42.5091367,-89.0366664 42.5103108,-89.0366699 42.5111144))",21572072,3rd Street,,residential,0,0,
"MULTILINESTRING ((-89.0368772 42.5015827,-89.0368263 42.5016364,-89.0367976 42.5016632,-89.0367857 42.5016914,-89.0367545 42.5018046,-89.0367401 42.502148,-89.0367266 42.5024682,-89.0367227 42.5026678,-89.0367192 42.5028494,-89.0367077 42.5034401,-89.0367051 42.5036273,-89.0367025 42.5038145,-89.0367181 42.5040284,-89.0367492 42.5040895))",21572078,3rd Street,,residential,0,0,
"MULTILINESTRING ((-89.020083 42.505607,-89.01975 42.50557,-89.018638 42.505612,-89.018013 42.505603,-89.0178582 42.5055982,-89.0177358 42.5055944))",21572121,Stewart Place,,residential,0,0,25
"MULTILINESTRING ((-89.024143 42.499658,-89.0241405 42.4997684,-89.024134 42.5000535,-89.0241362 42.5012627,-89.0241364 42.5013836))",21572127,Wisconsin Avenue,,residential,0,0,25
"MULTILINESTRING ((-88.9535743 42.5347767,-88.9535984 42.5348959,-88.953632 42.5349912,-88.9536443 42.5350261,-88.9537345 42.5351883,-88.9538159 42.5352992,-88.9539147 42.5354052,-88.953984 42.5354637,-88.9540694 42.5355302,-88.9541651 42.5356017,-88.9542969 42.5356915))",21572177,Townhall Road,,residential,0,0,35
"MULTILINESTRING ((-89.014681 42.526787,-89.014632 42.526748,-89.014519 42.526686,-89.0143693 42.526675,-89.0132118 42.526666,-89.0118398 42.52666))",21572241,Janie Lane,,residential,0,0,
"MULTILINESTRING ((-89.0069464 42.5400601,-89.0045335 42.5400562,-89.00404 42.5400641,-89.0038761 42.5401016))",21572242,Mandi Lane,,residential,0,0,
"MULTILINESTRING ((-89.0377164 42.4984939,-89.0376779 42.4985524))",21572244,Mill Street,,residential,0,0,
"MULTILINESTRING ((-89.045366 42.521436,-89.0454487 42.5233931))",21572270,Hurst Street,,residential,0,0,
"MULTILINESTRING ((-89.0434749 42.5388476,-89.0435847 42.5388674,-89.043776 42.53886,-89.045073 42.538853,-89.045452 42.538851,-89.046888 42.538843,-89.047051 42.538842,-89.0493068 42.5388683,-89.0495208 42.5388577,-89.049695 42.5388377,-89.0503453 42.5387553,-89.0504089 42.5387472,-89.0509499 42.538676,-89.0513546 42.5386172))",21572283,Crist Road,,residential,0,0,
"MULTILINESTRING ((-89.0004597 42.5317718,-89.0002413 42.5317247,-88.9999678 42.5316845,-88.999769 42.531665,-88.9996939 42.531665,-88.9996321 42.5316715))",21572285,Cheshire Lane,,residential,0,0,
"MULTILINESTRING ((-89.064625 42.565089,-89.0605084 42.5658059,-89.0604406 42.5658137,-89.0600548 42.5658579,-89.0596516 42.5658839,-89.0592535 42.5658765,-89.0587696 42.565843,-89.0582253 42.5657651,-89.055066 42.5652848,-89.0547578 42.565238,-89.0536591 42.5650784,-89.0532105 42.5650487,-89.0526309 42.565045,-89.0510181 42.5651192))",21572309,West Walters Road,,residential,0,0,
"MULTILINESTRING ((-88.938699 42.541893,-88.938725 42.544893))",21572312,South Butterfly Lane,,residential,0,0,
"MULTILINESTRING ((-89.1298647 42.5122573,-89.1291366 42.5120899,-89.1289733 42.5120548,-89.128764 42.5120098,-89.1284134 42.511932,-89.1280861 42.5118693,-89.1276634 42.5117951,-89.1273932 42.5117552,-89.12725 42.511734,-89.1267362 42.511676,-89.1264096 42.5116497,-89.1260921 42.511632,-89.1256291 42.5116213,-89.1251063 42.5116134,-89.1233497 42.5115869,-89.1222681 42.5115706,-89.1220118 42.5115667,-89.1219585 42.5115656,-89.1209234 42.5115442,-89.1190667 42.5115151,-89.1185078 42.5115064,-89.1129499 42.5114193,-89.1104331 42.5113866,-89.107585 42.5113403,-89.1053143 42.5113046,-89.100659 42.5112332,-89.0986337 42.5112026,-89.0975792 42.5111866,-89.0957523 42.511159,-89.0951945 42.5111505,-89.090863 42.511085,-89.0897975 42.5110679,-89.0858555 42.5110046,-89.0818559 42.5109404,-89.0783634 42.5109245))",21572345,West Liberty Avenue,WI 81,primary,0,0,55
"MULTILINESTRING ((-88.989163 42.515861,-88.9896185 42.5163605,-88.9898437 42.5166074,-88.990231 42.517032))",21572371,Rock Court,,residential,0,0,
"MULTILINESTRING ((-88.9436375 42.506677,-88.943282 42.5068447,-88.9424249 42.5072409,-88.9423229 42.5072881,-88.9408954 42.5079547,-88.9401198 42.5083109,-88.9390425 42.5088055,-88.9385563 42.5089756,-88.9381446 42.5090905,-88.9376634 42.5091859,-88.9371726 42.5092472,-88.9363994 42.5092824,-88.9341037 42.5093023,-88.9303789 42.5093325))",21572412,East County Road P,"WI 67;CTH P",secondary,0,0,
